datetime,pm25,temp,humidity,precip,wind_speed,hour,day_of_week,month,is_weekend,is_rainy_season,traffic_proxy,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag24,traffic_lag1,traffic_lag2,precip_lag1,wind_speed_lag1,pm25_roll3,pm25_roll6,pm25_roll12,pm25_roll24
2024-10-29 05:00:00,10.3,24.2,93,0.9,8.7,5,1,10,0,1,0.2353352832366127,10.1,10.7,11.6,10.3,0.12856550078455037,0.10386592013947281,0.1,8.7,10.799999999999963,12.966666666666667,16.508333333333336,15.225
2024-10-29 06:00:00,13.1,24.0,94,0.2,10.2,6,1,10,0,1,0.7611122905071874,10.3,10.1,10.7,11.2,0.2353352832366127,0.12856550078455037,0.9,8.7,10.36666666666663,11.816666666666668,15.85,15.225
2024-10-29 07:00:00,18.6,24.0,95,0.0,7.7,7,1,10,0,1,1.0,13.1,10.3,10.1,13.8,0.7611122905071874,0.2353352832366127,0.2,10.2,11.16666666666663,11.5,15.374999999999998,15.304166666666667
2024-10-29 08:00:00,18.3,25.5,89,0.0,7.6,8,1,10,0,1,1.0,18.6,13.1,10.3,14.3,1.0,0.7611122905071874,0.0,7.7,13.999999999999966,12.4,14.958333333333334,15.504166666666665
2024-10-29 09:00:00,20.7,26.5,83,0.2,10.5,9,1,10,0,1,1.0,18.3,18.6,13.1,13.4,1.0,1.0,0.0,7.6,16.666666666666632,13.516666666666667,14.783333333333333,15.670833333333333
2024-10-29 10:00:00,22.3,27.0,80,0.0,10.3,10,1,10,0,1,0.7611122905071874,20.7,18.3,18.6,14.1,1.0,1.0,0.2,10.5,19.199999999999964,15.183333333333332,14.833333333333334,15.975
2024-10-29 11:00:00,25.1,28.1,77,0.0,12.5,11,1,10,0,1,0.4853352832366127,22.3,20.7,18.3,11.1,0.7611122905071874,1.0,0.0,10.3,20.433333333333298,17.21666666666667,15.091666666666667,16.316666666666666
2024-10-29 12:00:00,24.4,29.0,74,0.1,15.9,12,1,10,0,1,0.37856550078455037,25.1,22.3,20.7,13.0,0.4853352832366127,0.7611122905071874,0.0,12.5,22.699999999999964,19.683333333333334,15.75,16.900000000000002
2024-10-29 13:00:00,25.6,28.3,74,0.5,14.6,13,1,10,0,1,0.35849227276083206,24.4,25.1,22.3,14.5,0.37856550078455037,0.4853352832366127,0.1,15.9,23.933333333333298,21.566666666666666,16.53333333333333,17.375
2024-10-29 14:00:00,21.8,27.7,77,0.3,8.3,14,1,10,0,1,0.3939369336234074,25.6,24.4,25.1,15.8,0.35849227276083206,0.37856550078455037,0.5,14.6,25.0333333333333,22.733333333333334,17.566666666666666,17.837500000000002
